employee_id,event_id,month,status
E0001,EV003,3,completed
E0001,EV037,6,completed
E0001,EV037,7,completed
E0001,EV031,10,completed
E0001,EV035,11,completed
E0001,EV036,13,completed
E0001,EV036,15,completed
E0001,EV039,18,completed
E0001,EV040,19,skipped
E0001,EV038,20,completed
E0001,EV002,21,completed
E0001,EV003,22,completed
E0001,EV001,23,completed
E0001,EV038,24,skipped
E0002,EV032,2,completed
E0002,EV038,4,skipped
E0002,EV037,5,completed
E0002,EV036,7,completed
E0002,EV032,9,completed
E0002,EV038,10,declined
E0002,EV031,11,declined
E0002,EV001,12,completed
E0002,EV005,13,completed
E0002,EV039,15,skipped
E0002,EV039,17,completed
E0002,EV004,18,declined
E0002,EV037,19,completed
E0002,EV031,21,skipped
E0002,EV034,22,completed
E0002,EV004,24,skipped
E0003,EV032,1,completed
E0003,EV005,3,completed
E0003,EV035,4,skipped
E0003,EV001,6,completed
E0003,EV037,13,declined
E0003,EV001,15,completed
E0003,EV031,17,completed
E0003,EV038,20,declined
E0003,EV035,22,skipped
E0003,EV005,23,completed
E0004,EV034,3,completed
E0004,EV031,6,completed
E0004,EV004,7,completed
E0004,EV031,8,completed
E0004,EV004,9,declined
E0004,EV035,11,completed
E0004,EV034,17,skipped
E0004,EV036,19,completed
E0004,EV036,21,completed
E0004,EV004,23,declined
E0004,EV035,24,declined
E0005,EV040,1,completed
E0005,EV031,4,skipped
E0005,EV002,5,completed
E0005,EV038,8,completed
E0005,EV001,9,skipped
E0005,EV004,10,completed
E0005,EV038,11,completed
E0005,EV036,12,skipped
E0005,EV002,13,completed
E0005,EV039,15,completed
E0005,EV037,16,skipped
E0005,EV036,17,declined
E0005,EV002,18,completed
E0005,EV003,20,completed
E0005,EV037,21,completed
E0005,EV002,23,completed
E0006,EV034,1,completed
E0006,EV037,2,completed
E0006,EV038,3,declined
E0006,EV001,6,completed
E0006,EV002,7,completed
E0006,EV034,8,completed
E0006,EV038,9,skipped
E0006,EV035,11,completed
E0006,EV038,13,declined
E0006,EV032,14,completed
E0006,EV036,15,completed
E0006,EV003,19,skipped
E0006,EV003,20,declined
E0006,EV038,23,declined
E0007,EV002,1,completed
E0007,EV037,4,completed
E0007,EV037,5,completed
